stop_name,latitude,longitude,routes
Quadrangle Club (Northeast Corner),41.79142,-87.597619,East
Quadrangle Club (Northeast Corner),41.79142,-87.597619,South
Quadrangle Club (southeast corner),41.791406,-87.597609,North
Burton-Judson Courts (Northeast Corner),41.785929,-87.601134,Central
Burton-Judson Courts (Northeast Corner),41.785929,-87.601134,South
Law School (North),41.786017,-87.599056,Midway Route
E Hyde Park Blvd & Kimbark,41.802453,-87.595097,North
Levi Hall (east),41.789497,-87.601204,Central
Levi Hall (east),41.789497,-87.601204,Polsky Express
59th St & Kimbark / Lab School,41.787866,-87.594498,South
59th St & Kimbark / Lab School,41.787866,-87.594498,Midway Metra AM
59th St & Kimbark / Lab School,41.787866,-87.594498,Midway Metra PM
59th St & Kimbark / Lab School,41.787866,-87.594498,Midway Route
59th St & Kimbark / Lab School,41.787866,-87.594498,Campus Shuttle
59th St & Kimbark / Lab School,41.787866,-87.594498,Hyde Park Route
53rd St & Kenwood,41.7995,-87.59255,53rd Street Express
59th St & Metra,41.787927,-87.588993,South
59th St & Metra,41.787927,-87.588993,Midway Metra AM
59th St & Metra,41.787927,-87.588993,Midway Metra PM
59th St & Metra,41.787927,-87.588993,Midway Route
59th St & Metra,41.787927,-87.588993,Campus Shuttle
59th St & Metra,41.787927,-87.588993,Hyde Park Route
Ellis Garage & Ratner Athletic Center (East),41.794322,-87.601303,Central
Ellis Garage & Ratner Athletic Center (East),41.794322,-87.601303,East
Ellis Garage & Ratner Athletic Center (East),41.794322,-87.601303,Friend Center/Metra
Ellis Garage & Ratner Athletic Center (East),41.794322,-87.601303,North
Ellis Garage & Ratner Athletic Center (East),41.794322,-87.601303,Polsky Express
Ellis Garage & Ratner Athletic Center (East),41.794322,-87.601303,Campus Shuttle
Ellis Garage & Ratner Athletic Center (East),41.794322,-87.601303,Hyde Park Route
Ellis Garage & Ratner Athletic Center (East),41.794322,-87.601303,Regents Express
Alumni House (Northwest Corner),41.793394,-87.596282,Central
