id,landmark,lat,lon,station_name
2,15541,41.876393,-87.620328,Buckingham Fountain
3,15544,41.86722595682,-87.6153553902,Shedd Aquarium
4,15545,41.856268,-87.613348,Burnham Harbor
5,13030,41.874053,-87.627716,State St & Harrison St
6,15548,41.885041,-87.612794,Dusable Harbor
7,15534,41.88634906269,-87.6175165471,Field Blvd & South Water St
9,15695,41.82879201994,-87.6806044594,Leavitt St & Archer Ave
11,15496,41.76663823695,-87.5764501141,Jeffery Blvd & 71st St
12,15497,41.7664094567,-87.5656875719,South Shore Dr & 71st St
13,13066,41.932418,-87.652705,Wilton Ave & Diversey Pkwy
14,13163,41.858086,-87.651073,Morgan St & 18th St
15,13164,41.858166,-87.656495,Racine Ave & 18th St
16,13223,41.910337,-87.670072,Paulina Ave & North Ave
17,13246,41.903119,-87.673935,Honore St & Division St
18,15536,41.883132,-87.637321,Wacker Dr & Washington St
19,13139,41.869417,-87.660996,Loomis St & Taylor St (*)
20,13154,41.910522,-87.653106,Sheffield Ave & Kingsbury St
21,13157,41.87772613,-87.65478743,Aberdeen St & Jackson Blvd
22,13160,41.8694821,-87.6554864,May St & Taylor St
23,13172,41.902924,-87.637715,Orleans St & Elm St (*)
24,13262,41.89186,-87.62062,Fairbanks Ct & Grand Ave
25,13034,41.89766,-87.62351,Michigan Ave & Pearson St
26,13051,41.890359,-87.617532,McClurg Ct & Illinois St
27,13174,41.91021,-87.6435,Larrabee St & North Ave
28,13282,41.91468,-87.64332,Larrabee St & Menomonee St
29,13290,41.90068,-87.6626,Noble St & Milwaukee Ave
30,13248,41.899643,-87.6677,Ashland Ave & Augusta Blvd
31,13017,41.896776,-87.635633,Franklin St & Chicago Ave
32,13076,41.87464,-87.65703,Racine Ave & Congress Pkwy
33,13003,41.877181,-87.627844,State St & Van Buren St
34,13124,41.9267559875,-87.6344287848,Cannon Dr & Fullerton Ave
35,13022,41.892278,-87.612043,Streeter Dr & Grand Ave
36,13019,41.8777079559,-87.6353211408,Franklin St & Jackson Blvd
37,13020,41.8793563587,-87.6297910363,Dearborn St & Adams St
38,15547,41.88602082773,-87.6308760584,Clark St & Lake St
39,15538,41.87947235235,-87.6256886059,Wabash Ave & Adams St
40,15537,41.87934437346,-87.6319852213,LaSalle St & Adams St
41,15543,41.87207763285,-87.6295437729,Federal St & Polk St
42,13170,41.852619,-87.626488,Wabash Ave & Cermak Rd
43,13001,41.8838927658,-87.6246491409,Michigan Ave & Washington St
44,13002,41.8847302006,-87.6277335692,State St & Randolph St
45,13040,41.876243,-87.624426,Michigan Ave & Congress Pkwy
46,13046,41.89993001,-87.63443007,Wells St & Walton St
47,13050,41.889187,-87.627754,State St & Kinzie St
48,13012,41.897764,-87.642884,Larrabee St & Kingsbury St
49,13049,41.881319815,-87.6295209193,Dearborn St & Monroe St
50,13009,41.8759326655,-87.6305845355,Clark St & Congress Pkwy
51,13005,41.884576228,-87.63188991,Clark St & Randolph St
52,13043,41.886024,-87.624117,Michigan Ave & Lake St
53,13064,41.894882,-87.632326,LaSalle (Wells) St & Huron St
54,13044,41.896362458,-87.6540612729,Ogden Ave & Chicago Ave
55,13166,41.867324,-87.648625,Halsted St & Roosevelt Rd
56,13039,41.888716036,-87.6444478533,Desplaines St & Kinzie St
57,13327,41.8671177825,-87.6410879593,Clinton St & Roosevelt Rd
58,13025,41.916017,-87.668879,Marshfield Ave & Cortland St
59,13031,41.867227,-87.625961,Wabash Ave & Roosevelt Rd
60,13058,41.9105780349,-87.6494219288,Dayton St & North Ave
